A?O_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;11;411;109818571;28-Nov-22;CSW;35598759;27686
2022;11;411;442659922;28-Nov-22;CSW;35598759;19672
2022;11;411;434194759;28-Nov-22;CSW;35598759;17346
2022;11;411;284458739;28-Nov-22;CSW;35598759;66672
2022;11;411;175098340;28-Nov-22;CSW;35598759;27686
2022;11;411;175134645;28-Nov-22;CSW;35598759;27686
2022;11;411;694299971;28-Nov-22;CSW;35598759;66672
2022;11;411;422718722;28-Nov-22;CSW;35598759;19672
2022;11;411;388846809;28-Nov-22;CSW;35598759;19672
2022;11;411;411207455;28-Nov-22;CSW;35598759;19672
2022;11;411;414723757;28-Nov-22;CSW;35598759;19224
2022;11;411;439748579;28-Nov-22;CSW;35598759;19672
2022;11;411;415646938;28-Nov-22;CSW;35598759;27686
2022;11;411;407085026;28-Nov-22;CSW;35598759;17346
2022;11;411;436626633;28-Nov-22;CSW;35598759;17346
2022;11;411;339269340;28-Nov-22;CSW;35598759;19224
2022;11;411;436629084;28-Nov-22;CSW;35598759;17346
2022;11;411;349469711;28-Nov-22;CSW;35598759;19672
2022;11;411;296265298;28-Nov-22;CSW;35598759;19224
2022;11;411;124350005;28-Nov-22;CSW;35598759;19672
2022;11;411;423493667;28-Nov-22;CSW;35598759;16970
2022;11;411;411208232;28-Nov-22;CSW;35598759;19672
2022;11;411;424102297;28-Nov-22;CSW;35598759;19672
2022;11;411;344533504;28-Nov-22;CSW;35598759;19672
2022;11;411;360495603;28-Nov-22;CSW;35598759;19672
2022;11;411;360483270;28-Nov-22;CSW;35598759;28594
2022;11;411;351218350;28-Nov-22;CSW;35598759;61999
2022;11;411;183314460;28-Nov-22;CSW;35598759;17346
2022;11;411;183315147;28-Nov-22;CSW;35598759;17346
2022;11;411;392914808;28-Nov-22;CSW;35598759;52006
2022;11;411;392916372;28-Nov-22;CSW;35598759;52006
2022;11;411;182470584;28-Nov-22;CSW;35598759;52006
2022;11;411;392917159;28-Nov-22;CSW;35598759;52006
2022;11;411;391014886;28-Nov-22;CSW;35598759;19672
2022;11;411;391016340;28-Nov-22;CSW;35598759;19672
2022;11;411;403045814;28-Nov-22;CSW;35598759;17346
2022;11;411;405502600;28-Nov-22;CSW;35598759;19672
2022;11;411;479135655;28-Nov-22;CSW;35598759;27686
2022;11;411;289248701;28-Nov-22;CSW;35598759;27038
2022;11;411;212090594;28-Nov-22;CSW;35598759;19672
2022;11;411;402088902;28-Nov-22;CSW;35598759;19672
2022;11;411;213883221;28-Nov-22;CSW;35598759;17346
2022;11;411;406549624;28-Nov-22;CSW;35598759;17346
2022;11;411;388049944;28-Nov-22;CSW;35598759;16970
2022;11;411;417826522;28-Nov-22;CSW;35598759;16970
2022;11;411;479115807;28-Nov-22;CSW;35598759;27686
2022;11;411;212514455;28-Nov-22;CSW;35598759;27686
2022;11;411;428082228;28-Nov-22;CSW;35598759;27686
2022;11;411;287884143;28-Nov-22;CSW;35598759;27884
2022;11;411;211069051;28-Nov-22;CSW;35598759;27884
2022;11;411;442031146;28-Nov-22;CSW;35598759;28594
2022;11;411;419110220;28-Nov-22;CSW;35598759;19224
2022;11;411;211065823;28-Nov-22;CSW;35598759;28594
2022;11;411;388761985;28-Nov-22;CSW;35598759;19672
2022;11;411;402080646;28-Nov-22;CSW;35598759;19672
2022;11;411;365864832;28-Nov-22;CSW;35598759;19224
2022;11;411;326103943;28-Nov-22;CSW;35598759;16970
2022;11;411;406004208;28-Nov-22;CSW;35598759;16970
2022;11;411;379644823;28-Nov-22;CSW;35598759;17346
2022;11;411;121747006;28-Nov-22;CSW;35598759;17346
2022;11;411;742916093;28-Nov-22;CSW;35598759;17346
2022;11;411;121745432;28-Nov-22;CSW;35598759;17346
2022;11;411;103836321;28-Nov-22;CSW;35598759;17346
2022;11;411;210324092;28-Nov-22;CSW;35598759;19672
2022;11;411;742835297;28-Nov-22;CSW;35598759;17346
2022;11;411;399598243;28-Nov-22;CSW;35598759;16970
2022;11;411;705955381;28-Nov-22;CSW;35598759;19224
2022;11;411;321016821;28-Nov-22;CSW;35598759;19672
2022;11;411;275856335;28-Nov-22;CSW;35598759;19224
2022;11;411;443120106;28-Nov-22;CSW;35598759;16970
2022;11;411;412422871;28-Nov-22;CSW;35598759;17346
2022;11;411;381461301;28-Nov-22;CSW;35598759;17346
2022;11;411;361694309;28-Nov-22;CSW;35598759;19224
2022;11;411;382342432;28-Nov-22;CSW;35598759;19672
2022;11;411;368076626;28-Nov-22;CSW;35598759;16970
2022;11;411;387917887;28-Nov-22;CSW;35598759;16970
2022;11;411;436406361;28-Nov-22;CSW;35598759;16970
2022;11;411;414680983;28-Nov-22;CSW;35598759;16970
2022;11;411;397732933;28-Nov-22;CSW;35598759;16970
2022;11;411;414679147;28-Nov-22;CSW;35598759;16970
2022;11;411;371480525;28-Nov-22;CSW;35598759;16970
2022;11;411;107636313;28-Nov-22;CSW;35598759;16970
2022;11;411;322264305;28-Nov-22;CSW;35598759;16970
2022;11;411;322266879;28-Nov-22;CSW;35598759;16970
2022;11;411;343947800;28-Nov-22;CSW;35598759;17346
2022;11;411;441418176;28-Nov-22;CSW;35598759;28594
2022;11;411;423461386;28-Nov-22;CSW;35598759;27686
2022;11;411;298393016;28-Nov-22;CSW;35598759;28594
2022;11;411;358596542;28-Nov-22;CSW;35598759;27686
