ANIO_FACTURACION;MES_FACTURACION;CONCEPTO;CLIENTE;FECHA_GRABACION;BANCO;EXTRACTO;VALOR_PAGO
2022;12;411;283297065;28-Nov-22;CSW;35598759;16970
2022;12;411;283297065;28-Nov-22;CSW;35598759;16970
2022;12;411;123453364;28-Nov-22;CSW;35598759;16970
2022;12;411;515035439;28-Nov-22;CSW;35598759;17346
2022;12;411;410578987;28-Nov-22;CSW;35598759;17346
2022;12;411;301546879;28-Nov-22;CSW;35598759;17346
2022;12;411;326604645;28-Nov-22;CSW;35598759;19672
2022;12;411;340580002;28-Nov-22;CSW;35598759;17346
2022;12;411;314297334;30-Nov-22;CSW;35598759;27686
2022;12;411;416015601;30-Nov-22;CSW;35598759;33760
2022;12;411;162393312;30-Nov-22;CSW;35598759;41887
2022;12;411;334826510;30-Nov-22;CSW;35598759;27686
2022;12;411;268391011;30-Nov-22;CSW;35598759;27686
2022;12;411;110966995;30-Nov-22;CSW;35598759;27686
2022;12;411;439570306;30-Nov-22;CSW;35598759;27686
2022;12;411;434864581;30-Nov-22;CSW;35598759;27686
2022;12;411;421142116;30-Nov-22;CSW;35598759;27686
2022;12;411;158397027;30-Nov-22;CSW;35598759;19672
2022;12;411;313360056;28-Nov-22;CSW;35598759;27686
2022;12;411;160887688;28-Nov-22;CSW;35598759;27686
2022;12;411;318176568;28-Nov-22;CSW;35598759;27686
2022;12;411;105967400;28-Nov-22;CSW;35598759;66672
2022;12;411;322368200;28-Nov-22;CSW;35598759;27686
2022;12;411;158364069;28-Nov-22;CSW;35598759;27686
2022;12;411;371195918;28-Nov-22;CSW;35598759;27686
2022;12;411;799495781;28-Nov-22;CSW;35598759;27686
2022;12;411;288921084;28-Nov-22;CSW;35598759;19224
2022;12;411;121554000;28-Nov-22;CSW;35598759;66672
2022;12;411;303856947;28-Nov-22;CSW;35598759;19672
2022;12;411;142280741;28-Nov-22;CSW;35598759;66672
2022;12;411;287164856;28-Nov-22;CSW;35598759;66672
2022;12;411;302331410;28-Nov-22;CSW;35598759;44934
2022;12;411;421558835;28-Nov-22;CSW;35598759;19672
2022;12;411;421559612;28-Nov-22;CSW;35598759;19672
2022;12;411;272401140;28-Nov-22;CSW;35598759;19672
2022;12;411;440549488;28-Nov-22;CSW;35598759;19672
2022;12;411;116436787;28-Nov-22;CSW;35598759;27686
2022;12;411;139171328;28-Nov-22;CSW;35598759;19672
2022;12;411;438107565;28-Nov-22;CSW;35598759;27686
2022;12;411;416962908;28-Nov-22;CSW;35598759;27686
2022;12;411;442686208;28-Nov-22;CSW;35598759;27686
2022;12;411;137225940;28-Nov-22;CSW;35598759;27686
2022;12;411;139617501;28-Nov-22;CSW;35598759;27686
2022;12;411;442969292;28-Nov-22;CSW;35598759;17092
2022;12;411;472275725;28-Nov-22;CSW;35598759;17346
2022;12;411;434683918;28-Nov-22;CSW;35598759;17346
2022;12;411;104663022;28-Nov-22;CSW;35598759;70531
2022;12;411;356100833;28-Nov-22;CSW;35598759;27686
2022;12;411;369174888;28-Nov-22;CSW;35598759;27686
2022;12;411;124454000;28-Nov-22;CSW;35598759;39855
2022;12;411;137201074;28-Nov-22;CSW;35598759;56107
2022;12;411;276099915;28-Nov-22;CSW;35598759;19672
2022;12;411;324952129;28-Nov-22;CSW;35598759;17346
2022;12;411;302094804;28-Nov-22;CSW;35598759;17346
2022;12;411;140182730;28-Nov-22;CSW;35598759;17346
2022;12;411;286766143;28-Nov-22;CSW;35598759;19672
2022;12;411;138159987;28-Nov-22;CSW;35598759;27686
2022;12;411;278897475;28-Nov-22;CSW;35598759;110809
2022;12;411;137157464;28-Nov-22;CSW;35598759;27686
2022;12;411;365135353;28-Nov-22;CSW;35598759;27686
2022;12;411;340874742;28-Nov-22;CSW;35598759;19672
2022;12;411;366428175;28-Nov-22;CSW;35598759;27686
2022;12;411;402895736;28-Nov-22;CSW;35598759;19672
2022;12;411;438045720;28-Nov-22;CSW;35598759;27686
2022;12;411;312598604;28-Nov-22;CSW;35598759;27686
2022;12;411;420523354;28-Nov-22;CSW;35598759;27686
2022;12;411;413754302;28-Nov-22;CSW;35598759;27686
2022;12;411;413757643;28-Nov-22;CSW;35598759;27686
2022;12;411;312490681;28-Nov-22;CSW;35598759;19224
2022;12;411;375212878;28-Nov-22;CSW;35598759;27686
2022;12;411;434960110;28-Nov-22;CSW;35598759;66672
2022;12;411;359678084;28-Nov-22;CSW;35598759;19672
2022;12;411;271604166;28-Nov-22;CSW;35598759;27686
