01|REFERENCIA|VALOR|FECHA|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5
02|"0000241028"|27502|2021-06-08 20:12:17|||||
02|"0000328219"|17882|2021-06-08 19:52:39|||||
02|"0000299860"|26566|2021-06-08 19:26:53|||||
02|"0000364277"|26566|2021-06-08 19:25:34|||||
02|"0000444827"|16598|2021-06-08 19:14:22|||||
02|"0000252064"|26566|2021-06-08 19:12:48|||||
02|"0000285635"|26566|2021-06-08 19:12:48|||||
02|"0000260174"|18858|2021-06-08 19:11:07|||||
02|"0000240865"|27502|2021-06-08 19:09:25|||||
02|"0000308637"|16598|2021-06-08 19:08:40||||||
03|00010|231204|2021-06-08 10:12:26|||||			
